datetime,location,door_status
2017-03-25 09:03:28,Georgetown-manual,opened
2017-03-25 09:03:36,Georgetown-manual,closed
2017-03-25 09:04:09,Georgetown-manual,opened
2017-03-25 09:04:13,Georgetown-manual,closed
2017-03-25 09:07:14,Georgetown-manual,opened
2017-03-25 09:07:20,Georgetown-manual,closed
2017-03-25 09:21:16,Georgetown-manual,opened
2017-03-25 09:34:55,Georgetown-manual,opened
2017-03-25 09:59:34,Georgetown-manual,opened
2017-03-25 10:16:42,Georgetown-manual,closed
2017-03-25 10:16:51,Georgetown-manual,opened
2017-03-25 10:16:59,Georgetown-manual,closed
2017-03-25 10:17:14,Georgetown-manual,opened
2017-03-25 10:17:17,Georgetown-manual,closed
2017-03-25 10:17:40,Georgetown-manual,opened
2017-03-25 10:17:48,Georgetown-manual,closed
2017-03-25 10:18:14,Georgetown-manual,opened
2017-03-25 10:18:17,Georgetown-manual,closed
2017-03-25 10:18:32,Georgetown-manual,opened
2017-03-25 10:18:39,Georgetown-manual,closed
2017-03-25 10:19:15,Georgetown-manual,opened
2017-03-25 10:19:20,Georgetown-manual,closed
2017-03-25 10:19:27,Georgetown-manual,opened
2017-03-25 10:19:32,Georgetown-manual,closed
2017-03-25 10:19:34,Georgetown-manual,opened
2017-03-25 10:19:42,Georgetown-manual,closed
2017-03-25 10:19:57,Georgetown-manual,opened
2017-03-25 10:20:01,Georgetown-manual,closed
2017-03-25 10:21:03,Georgetown-manual,opened
2017-03-25 10:21:08,Georgetown-manual,closed
2017-03-25 10:21:28,Georgetown-manual,opened
2017-03-25 10:21:34,Georgetown-manual,closed
2017-03-25 10:21:50,Georgetown-manual,opened
2017-03-25 10:21:54,Georgetown-manual,closed
2017-03-25 10:23:15,Georgetown-manual,opened
2017-03-25 10:23:21,Georgetown-manual,closed
2017-03-25 10:23:26,Georgetown-manual,opened
2017-03-25 10:23:30,Georgetown-manual,closed
2017-03-25 10:23:53,Georgetown-manual,opened
2017-03-25 10:23:59,Georgetown-manual,closed
2017-03-25 10:24:01,Georgetown-manual,opened
2017-03-25 10:24:06,Georgetown-manual,closed
2017-03-25 10:24:12,Georgetown-manual,opened
2017-03-25 10:24:18,Georgetown-manual,closed
2017-03-25 10:25:37,Georgetown-manual,opened
2017-03-25 10:25:42,Georgetown-manual,closed
2017-03-25 10:25:59,Georgetown-manual,opened
2017-03-25 10:26:03,Georgetown-manual,closed
2017-03-25 10:27:26,Georgetown-manual,opened
2017-03-25 10:27:30,Georgetown-manual,closed
2017-03-25 10:27:39,Georgetown-manual,opened
2017-03-25 10:27:43,Georgetown-manual,closed
2017-03-25 10:28:12,Georgetown-manual,opened
2017-03-25 10:28:17,Georgetown-manual,closed
2017-03-25 11:21:14,Georgetown-manual,opened
2017-03-25 11:21:16,Georgetown-manual,closed
2017-03-25 11:27:45,Georgetown-manual,opened
2017-03-25 11:27:48,Georgetown-manual,closed
2017-03-25 11:29:38,Georgetown-manual,opened
2017-03-25 11:29:41,Georgetown-manual,closed
2017-03-25 11:30:50,Georgetown-manual,opened
2017-03-25 11:30:53,Georgetown-manual,closed
2017-03-25 11:36:36,Georgetown-manual,opened
2017-03-25 11:36:39,Georgetown-manual,closed
2017-03-25 11:40:15,Georgetown-manual,opened
2017-03-25 11:40:19,Georgetown-manual,closed
2017-03-25 11:43:07,Georgetown-manual,opened
2017-03-25 11:43:10,Georgetown-manual,closed
2017-03-25 11:46:07,Georgetown-manual,opened
2017-03-25 11:46:11,Georgetown-manual,closed
2017-03-25 11:58:16,Georgetown-manual,opened
2017-03-25 11:58:24,Georgetown-manual,closed
2017-03-25 11:58:25,Georgetown-manual,opened
2017-03-25 11:58:30,Georgetown-manual,closed
2017-03-25 11:58:42,Georgetown-manual,opened
2017-03-25 11:58:54,Georgetown-manual,closed
2017-03-25 11:59:13,Georgetown-manual,opened
2017-03-25 11:59:17,Georgetown-manual,closed
2017-03-25 11:59:25,Georgetown-manual,opened
2017-03-25 11:59:30,Georgetown-manual,closed
2017-03-25 11:59:37,Georgetown-manual,opened
2017-03-25 11:59:57,Georgetown-manual,closed
2017-03-25 12:00:26,Georgetown-manual,opened
2017-03-25 12:00:31,Georgetown-manual,closed
2017-03-25 12:00:35,Georgetown-manual,opened
2017-03-25 12:00:39,Georgetown-manual,closed
2017-03-25 12:00:48,Georgetown-manual,opened
