dtm,temperature,humidity,co2,light,noise,bluetooth_devices,bluetooth_non_personal_devices,count_total
2017-03-25 09:05:00,22.6,36.9,781.0,430.0,511.0,1.0,,
2017-03-25 09:06:00,23.8,39.0,767.0,448.0,510.0,8.0,,
2017-03-25 09:07:00,23.9,39.0,787.0,438.0,511.0,18.0,,15.0
2017-03-25 09:08:00,23.9,38.8,761.0,421.0,509.0,25.0,,30.0
2017-03-25 09:09:00,24.0,38.8,792.0,441.0,500.0,37.0,,30.0
2017-03-25 09:10:00,24.0,38.8,792.0,454.0,501.0,38.0,,30.0
2017-03-25 09:11:00,24.1,38.7,784.0,453.0,509.0,39.0,,30.0
2017-03-25 09:12:00,24.1,38.6,809.0,329.0,511.0,43.0,,30.0
2017-03-25 09:13:00,24.1,38.8,801.0,402.0,512.0,43.0,,30.0
2017-03-25 09:14:00,24.2,38.6,806.0,411.0,498.0,45.0,,30.0
2017-03-25 09:15:00,24.2,38.5,793.0,408.0,509.0,47.0,,30.0
2017-03-25 09:16:00,24.2,38.4,785.0,371.0,505.0,48.0,,30.0
2017-03-25 09:17:00,24.2,38.3,831.0,362.0,522.0,48.0,,30.0
2017-03-25 09:18:00,24.3,38.3,835.0,383.0,510.0,52.0,,30.0
2017-03-25 09:19:00,24.3,38.3,826.0,416.0,507.0,52.0,,30.0
2017-03-25 09:20:00,24.3,38.2,838.0,410.0,483.0,53.0,,30.0
2017-03-25 09:21:00,24.4,38.2,827.0,409.0,503.0,54.0,,30.0
2017-03-25 09:22:00,24.4,38.1,847.0,412.0,503.0,57.0,,30.0
2017-03-25 09:23:00,24.4,38.1,819.0,417.0,507.0,59.0,,30.0
2017-03-25 09:24:00,24.5,38.0,858.0,418.0,495.0,60.0,,30.0
2017-03-25 09:25:00,24.5,38.0,850.0,400.0,502.0,60.0,,30.0
2017-03-25 09:26:00,24.5,37.9,840.0,416.0,511.0,61.0,,30.0
2017-03-25 09:27:00,24.6,37.9,887.0,339.0,500.0,63.0,,30.0
2017-03-25 09:28:00,24.6,37.8,856.0,339.0,515.0,63.0,,30.0
2017-03-25 09:29:00,24.6,37.9,882.0,341.0,507.0,64.0,,30.0
2017-03-25 09:30:00,24.6,37.7,887.0,350.0,500.0,65.0,,30.0
2017-03-25 09:31:00,24.7,37.8,916.0,318.0,536.0,67.0,,30.0
2017-03-25 09:32:00,24.8,37.9,925.0,342.0,501.0,69.0,,30.0
2017-03-25 09:33:00,24.8,37.8,946.0,342.0,494.0,70.0,,30.0
2017-03-25 09:35:00,24.8,37.8,952.0,354.0,500.0,73.0,,30.0
2017-03-25 09:36:00,24.9,37.8,938.0,360.0,501.0,74.0,,30.0
2017-03-25 09:37:00,24.9,38.0,956.0,364.0,508.0,77.0,,30.0
2017-03-25 09:38:00,24.9,37.7,950.0,357.0,513.0,80.0,,30.0
2017-03-25 09:39:00,24.9,37.4,918.0,361.0,502.0,80.0,,30.0
2017-03-25 09:40:00,24.9,37.6,961.0,363.0,500.0,84.0,,30.0
2017-03-25 10:33:00,25.8,37.5,1178.0,444.0,500.0,0.0,,30.0
2017-03-25 10:34:00,25.9,37.6,1145.0,440.0,500.0,27.0,,30.0
2017-03-25 10:35:00,25.8,37.7,1142.0,443.0,491.0,32.0,,30.0
2017-03-25 10:36:00,25.9,37.6,1214.0,434.0,507.0,39.0,,30.0
2017-03-25 10:37:00,25.9,37.6,1182.0,441.0,504.0,42.0,,30.0
2017-03-25 10:38:00,25.9,37.7,1233.0,436.0,498.0,44.0,,30.0
2017-03-25 10:39:00,25.9,37.5,1157.0,442.0,507.0,47.0,,30.0
2017-03-25 10:40:00,25.9,37.6,1195.0,424.0,497.0,48.0,,30.0
2017-03-25 10:41:00,25.9,37.5,1256.0,437.0,498.0,52.0,,30.0
2017-03-25 10:42:00,25.9,37.7,1217.0,437.0,480.0,57.0,,30.0
2017-03-25 10:43:00,26.0,37.8,1239.0,433.0,500.0,58.0,,30.0
2017-03-25 10:44:00,26.0,37.5,1210.0,451.0,507.0,61.0,,30.0
2017-03-25 10:45:00,26.0,37.6,1189.0,448.0,494.0,63.0,,30.0
2017-03-25 10:46:00,26.0,37.4,1193.0,446.0,516.0,67.0,,30.0
2017-03-25 10:47:00,26.0,37.4,1215.0,433.0,504.0,69.0,,30.0
2017-03-25 10:48:00,26.0,37.6,1269.0,434.0,504.0,73.0,,30.0
2017-03-25 10:49:00,26.0,37.5,1189.0,452.0,511.0,74.0,,30.0
2017-03-25 10:50:00,26.1,37.6,1215.0,444.0,486.0,79.0,,30.0
2017-03-25 10:51:00,26.1,37.6,1266.0,450.0,512.0,82.0,,30.0
2017-03-25 10:52:00,26.1,37.4,1244.0,450.0,508.0,83.0,,30.0
2017-03-25 10:53:00,26.1,37.8,1234.0,462.0,504.0,87.0,,30.0
2017-03-25 10:54:00,26.1,37.5,1302.0,447.0,515.0,89.0,,30.0
2017-03-25 10:55:00,26.1,37.6,1266.0,447.0,497.0,90.0,,30.0
2017-03-25 10:56:00,26.1,37.7,1266.0,451.0,506.0,92.0,,30.0
2017-03-25 10:57:00,26.1,37.9,1248.0,457.0,509.0,92.0,,30.0
2017-03-25 10:58:00,26.1,37.8,1225.0,421.0,488.0,95.0,,30.0
2017-03-25 10:59:00,26.1,37.7,1277.0,441.0,504.0,96.0,,30.0
2017-03-25 11:00:00,26.1,37.7,1254.0,456.0,492.0,98.0,,30.0
2017-03-25 11:01:00,26.2,37.8,1258.0,445.0,502.0,100.0,,30.0
2017-03-25 11:02:00,26.2,37.9,1296.0,461.0,502.0,101.0,,30.0
