datetime,location,count_operation,count_change,count_total
3/18/17 8:59,Georgetown,+,1,1
3/18/17 8:59,Georgetown,+,1,2
3/18/17 8:59,Georgetown,+,1,3
3/18/17 8:59,Georgetown,+,1,4
3/18/17 8:59,Georgetown,+,1,5
3/18/17 8:59,Georgetown,+,1,6
3/18/17 8:59,Georgetown,+,1,7
3/18/17 8:59,Georgetown,+,1,8
3/18/17 8:59,Georgetown,+,1,9
3/18/17 8:59,Georgetown,+,1,10
3/18/17 8:59,Georgetown,+,1,11
3/18/17 8:59,Georgetown,+,1,12
3/18/17 8:59,Georgetown,+,1,13
3/18/17 8:59,Georgetown,+,1,14
3/18/17 8:59,Georgetown,+,1,15
3/18/17 8:59,Georgetown,+,1,16
3/18/17 8:59,Georgetown,+,1,17
3/18/17 8:59,Georgetown,+,1,18
3/18/17 8:59,Georgetown,+,1,19
3/18/17 8:59,Georgetown,+,1,20
3/18/17 8:59,Georgetown,+,1,21
3/18/17 8:59,Georgetown,+,1,22
3/18/17 9:00,Georgetown,+,1,23
3/18/17 9:05,Georgetown,+,1,24
3/18/17 9:05,Georgetown,+,1,25
3/18/17 9:18,Georgetown,+,1,26
3/18/17 9:18,Georgetown,+,1,27
3/18/17 9:18,Georgetown,+,1,28
3/18/17 9:18,Georgetown,+,1,29
3/18/17 9:18,Georgetown,+,1,30
3/18/17 9:18,Georgetown,+,1,31
3/18/17 11:13,Georgetown,-,1,30
3/18/17 11:14,Georgetown,-,1,29
3/18/17 11:14,Georgetown,-,1,28
3/18/17 11:16,Georgetown,-,1,27
3/18/17 11:16,Georgetown,-,1,26
3/18/17 11:16,Georgetown,-,1,25
3/18/17 11:16,Georgetown,-,1,24
3/18/17 11:16,Georgetown,-,1,23
3/18/17 11:16,Georgetown,-,1,22
3/18/17 11:16,Georgetown,+,1,23
3/18/17 11:16,Georgetown,+,1,24
3/18/17 11:16,Georgetown,-,1,23
3/18/17 11:17,Georgetown,-,1,22
3/18/17 11:17,Georgetown,-,1,21
3/18/17 11:17,Georgetown,-,1,20
3/18/17 11:17,Georgetown,-,1,19
3/18/17 11:17,Georgetown,-,1,18
3/18/17 11:17,Georgetown,-,1,17
3/18/17 11:17,Georgetown,+,1,18
3/18/17 11:17,Georgetown,+,1,19
3/18/17 11:17,Georgetown,+,1,20
3/18/17 11:18,Georgetown,+,1,21
3/18/17 11:18,Georgetown,+,1,22
3/18/17 11:18,Georgetown,+,1,23
3/18/17 11:18,Georgetown,+,1,24
3/18/17 11:19,Georgetown,+,1,25
3/18/17 11:19,Georgetown,+,1,26
3/18/17 11:20,Georgetown,+,1,27
3/18/17 11:21,Georgetown,+,1,28
3/18/17 11:21,Georgetown,+,1,29
3/18/17 11:21,Georgetown,+,1,30
3/18/17 12:40,Georgetown,-,1,29
3/18/17 12:40,Georgetown,-,1,28
3/18/17 12:40,Georgetown,-,1,27
3/18/17 12:40,Georgetown,-,1,26
3/18/17 12:40,Georgetown,-,1,25
3/18/17 12:40,Georgetown,-,1,24
3/18/17 12:40,Georgetown,-,1,23
3/18/17 12:40,Georgetown,-,1,22
3/18/17 12:40,Georgetown,-,1,21
3/18/17 12:40,Georgetown,-,1,20
3/18/17 12:40,Georgetown,-,1,19
3/18/17 12:40,Georgetown,-,1,18
3/18/17 12:40,Georgetown,-,1,17
3/18/17 12:40,Georgetown,-,1,16
3/18/17 12:40,Georgetown,-,1,15
3/18/17 12:40,Georgetown,x,15,0
3/18/17 13:57,Georgetown,+,1,1
3/18/17 13:57,Georgetown,+,1,2
3/18/17 13:57,Georgetown,+,1,3
3/18/17 13:57,Georgetown,+,1,4
3/18/17 13:57,Georgetown,+,1,5
3/18/17 13:57,Georgetown,+,1,6
3/18/17 13:57,Georgetown,+,1,7
3/18/17 13:57,Georgetown,+,1,8
3/18/17 13:57,Georgetown,+,1,9
3/18/17 13:57,Georgetown,+,1,10
3/18/17 13:57,Georgetown,+,1,11
3/18/17 13:57,Georgetown,+,1,12
3/18/17 13:57,Georgetown,+,1,13
3/18/17 13:57,Georgetown,+,1,14
3/18/17 13:57,Georgetown,+,1,15
3/18/17 13:57,Georgetown,+,1,16
3/18/17 13:57,Georgetown,+,1,17
3/18/17 13:57,Georgetown,+,1,18
3/18/17 13:57,Georgetown,+,1,19
3/18/17 13:57,Georgetown,+,1,20
3/18/17 13:57,Georgetown,+,1,21
3/18/17 13:57,Georgetown,+,1,22
3/18/17 13:57,Georgetown,+,1,23
3/18/17 13:57,Georgetown,+,1,24
3/18/17 13:57,Georgetown,+,1,25
3/18/17 13:57,Georgetown,+,1,26
3/18/17 13:57,Georgetown,+,1,27
3/18/17 13:57,Georgetown,+,1,28
3/18/17 13:57,Georgetown,+,1,29
3/18/17 13:57,Georgetown,+,1,30
3/18/17 15:35,Georgetown,-,1,29
3/18/17 15:35,Georgetown,-,1,28
3/18/17 15:35,Georgetown,-,1,27
3/18/17 15:35,Georgetown,+,1,28
3/18/17 15:35,Georgetown,+,1,29
3/18/17 15:35,Georgetown,+,1,30
3/18/17 15:40,Georgetown,-,1,29
3/18/17 16:07,Georgetown,-,1,28
3/18/17 16:07,Georgetown,-,1,27
3/18/17 16:08,Georgetown,-,1,26
3/18/17 16:08,Georgetown,-,1,25
3/18/17 16:08,Georgetown,-,1,24
3/18/17 16:09,Georgetown,-,1,23
3/18/17 16:10,Georgetown,-,1,22
3/18/17 16:11,Georgetown,-,1,21
3/18/17 16:12,Georgetown,-,1,20
3/18/17 16:12,Georgetown,-,1,19
3/18/17 16:18,Georgetown,-,1,18
3/18/17 16:21,Georgetown,-,1,17
3/18/17 16:21,Georgetown,-,1,16
3/18/17 16:21,Georgetown,-,1,15
3/18/17 16:25,Georgetown,x,15,0
3/25/17 9:07,Georgetown,+,1,2
3/25/17 9:07,Georgetown,+,1,3
3/25/17 9:07,Georgetown,+,1,4
3/25/17 9:07,Georgetown,-,1,3
3/25/17 9:07,Georgetown,+,1,4
3/25/17 9:07,Georgetown,+,1,5
3/25/17 9:07,Georgetown,+,1,6
3/25/17 9:07,Georgetown,+,1,7
3/25/17 9:07,Georgetown,+,1,8
3/25/17 9:07,Georgetown,+,1,9
3/25/17 9:07,Georgetown,+,1,10
3/25/17 9:07,Georgetown,+,1,11
3/25/17 9:07,Georgetown,+,1,12
3/25/17 9:07,Georgetown,+,1,13
3/25/17 9:07,Georgetown,+,1,14
3/25/17 9:07,Georgetown,+,1,15
3/25/17 9:08,Georgetown,+,1,16
3/25/17 9:08,Georgetown,+,1,17
3/25/17 9:08,Georgetown,+,1,18
3/25/17 9:08,Georgetown,+,1,19
3/25/17 9:08,Georgetown,+,1,20
3/25/17 9:08,Georgetown,+,1,21
3/25/17 9:08,Georgetown,+,1,22
3/25/17 9:08,Georgetown,+,1,23
3/25/17 9:08,Georgetown,+,1,24
3/25/17 9:08,Georgetown,+,1,25
3/25/17 9:08,Georgetown,+,1,26
3/25/17 9:08,Georgetown,+,1,27
3/25/17 9:08,Georgetown,+,1,28
3/25/17 9:08,Georgetown,+,1,29
3/25/17 9:08,Georgetown,+,1,30
3/25/17 9:53,Georgetown,-,1,29
3/25/17 10:03,Georgetown,+,1,30
3/25/17 10:13,Georgetown,-,1,29
3/25/17 10:13,Georgetown,-,1,28
3/25/17 10:13,Georgetown,-,1,27
3/25/17 10:13,Georgetown,-,1,26
3/25/17 10:14,Georgetown,-,1,25
3/25/17 10:14,Georgetown,-,1,24
3/25/17 10:15,Georgetown,-,1,23
3/25/17 10:15,Georgetown,-,1,22
3/25/17 10:24,Georgetown,+,1,23
3/25/17 10:24,Georgetown,+,1,24
3/25/17 10:24,Georgetown,+,1,25
3/25/17 10:24,Georgetown,+,1,26
3/25/17 10:24,Georgetown,+,1,27
3/25/17 10:24,Georgetown,+,1,28
3/25/17 10:24,Georgetown,+,1,29
3/25/17 10:24,Georgetown,+,1,30
3/25/17 10:24,Georgetown,+,1,31
3/25/17 11:28,Georgetown,-,1,30
3/25/17 11:29,Georgetown,+,1,31
3/25/17 11:36,Georgetown,-,1,30
3/25/17 11:40,Georgetown,-,1,29
3/25/17 11:50,Georgetown,+,1,30
3/25/17 11:50,Georgetown,+,1,31
3/25/17 11:58,Georgetown,-,1,30
3/25/17 11:58,Georgetown,-,1,29
3/25/17 11:58,Georgetown,-,1,28
3/25/17 11:58,Georgetown,-,1,27
3/25/17 11:58,Georgetown,-,1,26
3/25/17 11:59,Georgetown,-,1,25
3/25/17 11:59,Georgetown,-,1,24
3/25/17 11:59,Georgetown,-,1,23
3/25/17 11:59,Georgetown,-,1,22
3/25/17 11:59,Georgetown,-,1,21
3/25/17 11:59,Georgetown,-,1,20
3/25/17 11:59,Georgetown,-,1,19
3/25/17 11:59,Georgetown,-,1,18
3/25/17 11:59,Georgetown,-,1,17
3/25/17 11:59,Georgetown,-,1,16
3/25/17 12:00,Georgetown,+,1,17
3/25/17 12:01,Georgetown,-,1,16
3/25/17 12:01,Georgetown,-,1,15
3/25/17 12:01,Georgetown,-,1,14
3/25/17 12:01,Georgetown,-,1,13
3/25/17 12:01,Georgetown,-,1,12
3/25/17 12:01,Georgetown,-,1,11
3/25/17 12:01,Georgetown,x,11,0
3/25/17 12:50,Georgetown,+,1,1
3/25/17 12:50,Georgetown,+,1,2
3/25/17 12:50,Georgetown,+,1,3
3/25/17 12:50,Georgetown,+,1,4
3/25/17 12:50,Georgetown,+,1,5
3/25/17 12:50,Georgetown,+,1,6
3/25/17 12:50,Georgetown,+,1,7
3/25/17 12:50,Georgetown,+,1,8
3/25/17 12:50,Georgetown,+,1,9
3/25/17 12:51,Georgetown,+,1,10
3/25/17 12:51,Georgetown,+,1,11
3/25/17 12:51,Georgetown,+,1,12
3/25/17 12:51,Georgetown,+,1,13
3/25/17 12:51,Georgetown,+,1,14
3/25/17 12:58,Georgetown,+,1,15
3/25/17 12:58,Georgetown,+,1,16
3/25/17 12:59,Georgetown,+,1,17
3/25/17 12:59,Georgetown,+,1,18
3/25/17 12:59,Georgetown,+,1,19
3/25/17 12:59,Georgetown,+,1,20
3/25/17 12:59,Georgetown,+,1,21
3/25/17 12:59,Georgetown,+,1,22
3/25/17 13:01,Georgetown,-,1,21
3/25/17 13:04,Georgetown,+,1,22
3/25/17 13:04,Georgetown,+,1,23
3/25/17 13:04,Georgetown,+,1,24
3/25/17 13:04,Georgetown,+,1,25
3/25/17 13:04,Georgetown,+,1,26
3/25/17 13:05,Georgetown,+,1,27
3/25/17 13:05,Georgetown,+,1,28
3/25/17 13:05,Georgetown,+,1,29
3/25/17 13:05,Georgetown,+,1,30
3/25/17 13:05,Georgetown,-,1,30
3/25/17 13:08,Georgetown,+,1,31
3/25/17 13:31,Georgetown,-,1,30
3/25/17 13:40,Georgetown,+,1,31
