datetime,location,door_status
2017-04-08 10:01:42,Georgetown,opened
2017-04-08 10:01:49,Georgetown,closed
2017-04-08 10:01:51,Georgetown,opened
2017-04-08 10:02:13,Georgetown,closed
2017-04-08 10:02:18,Georgetown,opened
2017-04-08 10:02:24,Georgetown,closed
2017-04-08 10:02:27,Georgetown,opened
2017-04-08 10:02:35,Georgetown,closed
2017-04-08 10:02:39,Georgetown,opened
2017-04-08 10:02:46,Georgetown,closed
2017-04-08 10:03:05,Georgetown,opened
2017-04-08 10:03:11,Georgetown,closed
2017-04-08 10:03:38,Georgetown,opened
2017-04-08 10:03:43,Georgetown,closed
2017-04-08 10:04:19,Georgetown,opened
2017-04-08 10:04:23,Georgetown,closed
2017-04-08 10:04:25,Georgetown,opened
2017-04-08 10:04:30,Georgetown,closed
2017-04-08 10:04:36,Georgetown,opened
2017-04-08 10:04:41,Georgetown,closed
2017-04-08 10:04:49,Georgetown,opened
2017-04-08 10:04:54,Georgetown,closed
2017-04-08 10:04:59,Georgetown,opened
2017-04-08 10:05:06,Georgetown,closed
2017-04-08 10:05:09,Georgetown,opened
2017-04-08 10:05:15,Georgetown,closed
2017-04-08 10:05:40,Georgetown,opened
2017-04-08 10:05:46,Georgetown,closed
2017-04-08 10:06:17,Georgetown,opened
2017-04-08 10:06:24,Georgetown,closed
2017-04-08 10:06:34,Georgetown,opened
2017-04-08 10:06:41,Georgetown,closed
2017-04-08 10:07:17,Georgetown,opened
2017-04-08 10:07:27,Georgetown,closed
2017-04-08 10:07:39,Georgetown,opened
2017-04-08 10:07:43,Georgetown,closed
2017-04-08 10:07:53,Georgetown,opened
2017-04-08 10:07:58,Georgetown,closed
2017-04-08 10:08:51,Georgetown,opened
2017-04-08 10:08:56,Georgetown,closed
2017-04-08 10:09:04,Georgetown,opened
2017-04-08 10:09:09,Georgetown,closed
2017-04-08 10:09:15,Georgetown,opened
2017-04-08 10:09:20,Georgetown,closed
2017-04-08 10:11:16,Georgetown,opened
2017-04-08 10:11:19,Georgetown,closed
2017-04-08 10:21:33,Georgetown,opened
2017-04-08 10:21:34,Georgetown,closed
2017-04-08 10:39:15,Georgetown,opened
2017-04-08 10:39:19,Georgetown,closed
2017-04-08 10:46:26,Georgetown,opened
2017-04-08 10:46:30,Georgetown,closed
2017-04-08 10:56:47,Georgetown,opened
2017-04-08 10:56:52,Georgetown,closed
2017-04-08 10:57:05,Georgetown,opened
2017-04-08 10:57:16,Georgetown,closed
2017-04-08 10:57:26,Georgetown,opened
2017-04-08 10:57:44,Georgetown,closed
2017-04-08 10:57:46,Georgetown,opened
2017-04-08 10:57:59,Georgetown,closed
2017-04-08 10:59:22,Georgetown,opened
2017-04-08 10:59:27,Georgetown,closed
2017-04-08 10:59:57,Georgetown,opened
2017-04-08 11:00:05,Georgetown,closed
2017-04-08 11:00:15,Georgetown,opened
2017-04-08 11:00:20,Georgetown,closed
2017-04-08 11:00:22,Georgetown,opened
2017-04-08 11:00:30,Georgetown,closed
2017-04-08 11:00:30,Georgetown,opened
2017-04-08 11:00:42,Georgetown,closed
2017-04-08 11:00:48,Georgetown,opened
2017-04-08 11:00:56,Georgetown,closed
2017-04-08 11:01:17,Georgetown,opened
2017-04-08 11:01:22,Georgetown,closed
2017-04-08 11:01:26,Georgetown,opened
2017-04-08 11:01:30,Georgetown,closed
2017-04-08 11:01:45,Georgetown,opened
2017-04-08 11:01:50,Georgetown,closed
2017-04-08 11:01:53,Georgetown,opened
2017-04-08 11:01:57,Georgetown,closed
2017-04-08 11:02:10,Georgetown,opened
2017-04-08 11:02:16,Georgetown,closed
2017-04-08 11:25:55,Georgetown,opened
2017-04-08 11:25:56,Georgetown,closed
2017-04-08 11:46:55,Georgetown,opened
2017-04-08 11:46:59,Georgetown,closed
2017-04-08 11:54:10,Georgetown,opened
2017-04-08 11:54:13,Georgetown,closed
2017-04-08 12:04:57,Georgetown,opened
2017-04-08 12:04:58,Georgetown,closed
2017-04-08 12:05:07,Georgetown,opened
2017-04-08 12:05:15,Georgetown,closed
2017-04-08 12:06:12,Georgetown,opened
2017-04-08 12:06:38,Georgetown,closed
2017-04-08 12:06:44,Georgetown,opened
2017-04-08 12:06:56,Georgetown,closed
2017-04-08 12:07:01,Georgetown,opened
2017-04-08 12:07:09,Georgetown,closed
2017-04-08 12:07:18,Georgetown,opened
2017-04-08 12:07:24,Georgetown,closed
2017-04-08 12:07:29,Georgetown,opened
2017-04-08 12:07:35,Georgetown,closed
2017-04-08 12:07:45,Georgetown,opened
2017-04-08 12:07:49,Georgetown,closed
2017-04-08 12:07:58,Georgetown,opened
2017-04-08 12:08:02,Georgetown,closed
2017-04-08 12:08:26,Georgetown,opened
2017-04-08 12:08:37,Georgetown,closed
2017-04-08 12:09:40,Georgetown,opened
2017-04-08 12:09:45,Georgetown,closed
2017-04-08 12:11:48,Georgetown,opened
2017-04-08 12:11:53,Georgetown,closed
2017-04-08 12:26:16,Georgetown,opened
2017-04-08 12:26:21,Georgetown,closed
2017-04-08 12:26:49,Georgetown,opened
2017-04-08 12:26:55,Georgetown,closed
2017-04-08 12:27:40,Georgetown,opened
2017-04-08 12:27:45,Georgetown,closed
2017-04-08 12:28:39,Georgetown,opened
2017-04-08 12:28:44,Georgetown,closed
2017-04-08 12:29:13,Georgetown,opened
2017-04-08 12:29:18,Georgetown,closed
2017-04-08 12:30:18,Georgetown,opened
2017-04-08 12:30:23,Georgetown,closed
2017-04-08 12:30:57,Georgetown,opened
2017-04-08 12:31:03,Georgetown,closed
2017-04-08 12:31:24,Georgetown,opened
2017-04-08 12:31:29,Georgetown,closed
2017-04-08 12:34:36,Georgetown,opened
2017-04-08 12:34:41,Georgetown,closed
2017-04-08 12:40:35,Georgetown,opened
2017-04-08 12:40:46,Georgetown,closed
2017-04-08 12:41:47,Georgetown,opened
2017-04-08 12:41:52,Georgetown,closed
2017-04-08 12:44:54,Georgetown,opened
2017-04-08 12:44:55,Georgetown,closed
2017-04-08 12:45:19,Georgetown,opened
2017-04-08 12:45:25,Georgetown,closed
2017-04-08 12:46:36,Georgetown,opened
2017-04-08 12:46:37,Georgetown,closed
2017-04-08 12:47:34,Georgetown,opened
2017-04-08 12:47:40,Georgetown,closed
2017-04-08 12:50:07,Georgetown,opened
2017-04-08 12:50:12,Georgetown,closed
2017-04-08 12:50:21,Georgetown,opened
2017-04-08 12:50:25,Georgetown,closed
2017-04-08 12:50:38,Georgetown,opened
2017-04-08 12:50:44,Georgetown,closed
2017-04-08 12:52:41,Georgetown,opened
2017-04-08 12:52:45,Georgetown,closed
2017-04-08 12:53:49,Georgetown,opened
2017-04-08 12:53:55,Georgetown,closed
2017-04-08 12:54:08,Georgetown,opened
2017-04-08 12:54:13,Georgetown,closed
2017-04-08 12:54:50,Georgetown,opened
2017-04-08 12:54:56,Georgetown,closed
2017-04-08 12:56:01,Georgetown,opened
2017-04-08 12:56:06,Georgetown,closed
2017-04-08 12:56:13,Georgetown,opened
2017-04-08 12:56:19,Georgetown,closed
2017-04-08 12:56:38,Georgetown,opened
2017-04-08 12:56:44,Georgetown,closed
2017-04-08 12:57:26,Georgetown,opened
2017-04-08 12:57:36,Georgetown,closed
2017-04-08 12:57:38,Georgetown,opened
2017-04-08 12:57:44,Georgetown,closed
2017-04-08 12:58:07,Georgetown,opened
2017-04-08 12:58:13,Georgetown,closed
2017-04-08 12:58:37,Georgetown,opened
2017-04-08 12:58:46,Georgetown,closed
2017-04-08 12:58:54,Georgetown,opened
2017-04-08 12:59:00,Georgetown,closed
2017-04-08 12:59:15,Georgetown,opened
2017-04-08 12:59:21,Georgetown,closed
2017-04-08 12:59:33,Georgetown,opened
2017-04-08 12:59:42,Georgetown,closed
2017-04-08 12:59:53,Georgetown,opened
2017-04-08 12:59:57,Georgetown,closed
2017-04-08 13:00:17,Georgetown,opened
2017-04-08 13:00:28,Georgetown,closed
2017-04-08 13:00:34,Georgetown,opened
2017-04-08 13:00:44,Georgetown,closed
2017-04-08 13:00:49,Georgetown,opened
2017-04-08 13:00:54,Georgetown,closed
2017-04-08 13:01:25,Georgetown,opened
2017-04-08 13:01:31,Georgetown,closed
2017-04-08 13:01:31,Georgetown,opened
2017-04-08 13:01:37,Georgetown,closed
2017-04-08 13:01:49,Georgetown,opened
2017-04-08 13:01:54,Georgetown,closed
2017-04-08 13:02:27,Georgetown,opened
2017-04-08 13:02:31,Georgetown,closed
2017-04-08 13:02:46,Georgetown,opened
2017-04-08 13:02:56,Georgetown,closed
2017-04-08 13:03:22,Georgetown,opened
2017-04-08 13:03:27,Georgetown,closed
2017-04-08 13:04:28,Georgetown,opened
2017-04-08 13:04:35,Georgetown,closed
2017-04-08 13:05:43,Georgetown,opened
2017-04-08 13:05:49,Georgetown,closed
2017-04-08 13:06:13,Georgetown,opened
2017-04-08 13:06:18,Georgetown,closed
2017-04-08 13:06:51,Georgetown,opened
2017-04-08 13:06:57,Georgetown,closed
2017-04-08 13:07:39,Georgetown,opened
2017-04-08 13:07:44,Georgetown,closed
2017-04-08 13:08:14,Georgetown,opened
2017-04-08 13:08:15,Georgetown,closed
2017-04-08 13:08:22,Georgetown,opened
2017-04-08 13:08:25,Georgetown,closed
2017-04-08 13:13:12,Georgetown,opened
2017-04-08 13:13:17,Georgetown,closed
2017-04-08 13:15:59,Georgetown,opened
2017-04-08 13:16:04,Georgetown,closed
2017-04-08 13:16:11,Georgetown,opened
2017-04-08 13:16:17,Georgetown,closed
2017-04-08 13:17:44,Georgetown,opened
2017-04-08 13:17:48,Georgetown,closed
2017-04-08 13:19:16,Georgetown,opened
2017-04-08 13:19:17,Georgetown,closed
2017-04-08 13:20:44,Georgetown,opened
2017-04-08 13:20:48,Georgetown,closed
2017-04-08 14:00:33,Georgetown,opened
2017-04-08 14:00:40,Georgetown,closed
2017-04-08 14:00:43,Georgetown,opened
2017-04-08 14:00:55,Georgetown,closed
2017-04-08 14:00:58,Georgetown,opened
2017-04-08 14:01:13,Georgetown,closed
2017-04-08 14:01:17,Georgetown,opened
2017-04-08 14:01:23,Georgetown,closed
2017-04-08 14:01:27,Georgetown,opened
2017-04-08 14:01:33,Georgetown,closed
2017-04-08 14:01:50,Georgetown,opened
2017-04-08 14:01:59,Georgetown,closed
2017-04-08 14:02:17,Georgetown,opened
2017-04-08 14:02:21,Georgetown,closed
2017-04-08 14:03:13,Georgetown,opened
2017-04-08 14:03:19,Georgetown,closed
2017-04-08 14:03:31,Georgetown,opened
2017-04-08 14:03:35,Georgetown,closed
2017-04-08 14:03:39,Georgetown,opened
2017-04-08 14:03:44,Georgetown,closed
2017-04-08 14:03:50,Georgetown,opened
2017-04-08 14:03:55,Georgetown,closed
2017-04-08 14:04:38,Georgetown,opened
2017-04-08 14:04:44,Georgetown,closed
2017-04-08 14:04:46,Georgetown,opened
2017-04-08 14:04:51,Georgetown,closed
2017-04-08 14:05:15,Georgetown,opened
2017-04-08 14:05:20,Georgetown,closed
2017-04-08 14:05:51,Georgetown,opened
2017-04-08 14:05:56,Georgetown,closed
2017-04-08 14:06:10,Georgetown,opened
2017-04-08 14:06:18,Georgetown,closed
2017-04-08 14:06:27,Georgetown,opened
2017-04-08 14:06:32,Georgetown,closed
2017-04-08 14:07:16,Georgetown,opened
2017-04-08 14:07:25,Georgetown,closed
2017-04-08 14:07:40,Georgetown,opened
2017-04-08 14:07:46,Georgetown,closed
2017-04-08 14:07:59,Georgetown,opened
2017-04-08 14:08:08,Georgetown,closed
2017-04-08 14:08:36,Georgetown,opened
2017-04-08 14:08:41,Georgetown,closed
2017-04-08 14:08:59,Georgetown,opened
2017-04-08 14:09:04,Georgetown,closed
2017-04-08 14:10:14,Georgetown,opened
2017-04-08 14:10:19,Georgetown,closed
2017-04-08 14:16:32,Georgetown,opened
2017-04-08 14:16:36,Georgetown,closed
2017-04-08 14:25:55,Georgetown,opened
2017-04-08 14:25:56,Georgetown,closed
2017-04-08 14:30:55,Georgetown,opened
2017-04-08 14:30:59,Georgetown,closed
2017-04-08 14:33:56,Georgetown,opened
2017-04-08 14:33:59,Georgetown,closed
2017-04-08 14:42:37,Georgetown,opened
2017-04-08 14:42:37,Georgetown,closed
2017-04-08 15:03:49,Georgetown,opened
2017-04-08 15:03:52,Georgetown,closed
2017-04-08 15:08:36,Georgetown,opened
2017-04-08 15:08:41,Georgetown,closed
2017-04-08 15:17:20,Georgetown,opened
2017-04-08 15:17:25,Georgetown,closed
2017-04-08 15:20:39,Georgetown,opened
2017-04-08 15:20:44,Georgetown,closed
2017-04-08 15:23:28,Georgetown,opened
2017-04-08 15:23:33,Georgetown,closed
2017-04-08 15:26:11,Georgetown,opened
2017-04-08 15:26:17,Georgetown,closed
2017-04-08 15:26:51,Georgetown,opened
2017-04-08 15:26:57,Georgetown,closed
2017-04-08 15:27:28,Georgetown,opened
2017-04-08 15:27:33,Georgetown,closed
2017-04-08 15:28:07,Georgetown,opened
2017-04-08 15:28:12,Georgetown,closed
2017-04-08 15:28:30,Georgetown,opened
2017-04-08 15:28:33,Georgetown,closed
2017-04-08 15:29:41,Georgetown,opened
2017-04-08 15:29:46,Georgetown,closed
2017-04-08 15:30:57,Georgetown,opened
2017-04-08 15:30:57,Georgetown,closed
2017-04-08 15:30:58,Georgetown,opened
2017-04-08 15:31:03,Georgetown,closed
2017-04-08 15:31:22,Georgetown,opened
2017-04-08 15:31:26,Georgetown,closed
2017-04-08 15:35:26,Georgetown,opened
2017-04-08 15:35:30,Georgetown,closed
2017-04-08 15:37:53,Georgetown,opened
2017-04-08 15:37:57,Georgetown,closed
2017-04-08 15:40:12,Georgetown,opened
2017-04-08 15:40:17,Georgetown,closed
2017-04-08 15:46:22,Georgetown,opened
2017-04-08 15:46:26,Georgetown,closed
2017-04-08 16:06:37,Georgetown,opened
2017-04-08 16:06:43,Georgetown,closed
2017-04-08 16:07:29,Georgetown,opened
2017-04-08 16:07:39,Georgetown,closed
2017-04-08 16:07:43,Georgetown,opened
2017-04-08 16:07:50,Georgetown,closed
2017-04-08 16:07:54,Georgetown,opened
2017-04-08 16:08:01,Georgetown,closed
2017-04-08 16:08:59,Georgetown,opened
2017-04-08 16:09:04,Georgetown,closed
2017-04-08 16:09:52,Georgetown,opened
2017-04-08 16:09:59,Georgetown,closed
2017-04-08 16:10:18,Georgetown,opened
2017-04-08 16:10:24,Georgetown,closed
2017-04-08 16:10:38,Georgetown,opened
2017-04-08 16:10:44,Georgetown,closed
2017-04-08 16:12:05,Georgetown,opened
2017-04-08 16:12:09,Georgetown,closed
2017-04-08 16:12:17,Georgetown,opened
2017-04-08 16:12:25,Georgetown,closed
2017-04-08 16:12:29,Georgetown,opened
2017-04-08 16:12:35,Georgetown,closed
2017-04-08 16:12:46,Georgetown,opened
2017-04-08 16:12:52,Georgetown,closed
2017-04-08 16:14:10,Georgetown,opened
2017-04-08 16:14:49,Georgetown,closed
2017-04-08 16:16:55,Georgetown,opened
2017-04-08 16:17:01,Georgetown,closed
2017-04-08 16:19:01,Georgetown,opened
2017-04-08 16:19:06,Georgetown,closed
2017-04-08 16:25:51,Georgetown,opened
