datetime,location,temperature,humidity,light,bluetooth_devices,bluetooth_non_personal_devices
2017-03-10 20:58:11,Georgetown-class1,22.4,19.6,498,16,
2017-03-10 20:58:17,Georgetown-class1,22.5,19.7,485,21,
2017-03-10 20:58:40,Georgetown-class1,22.5,19.7,503,24,
2017-03-10 20:58:46,Georgetown-class1,22.4,19.7,1003,25,
2017-03-10 20:59:03,Georgetown-class1,22.5,19.7,509,27,
2017-03-10 20:59:09,Georgetown-class1,22.5,19.6,491,27,
2017-03-10 20:59:15,Georgetown-class1,22.5,19.6,500,27,
2017-03-10 20:59:39,Georgetown-class1,22.5,19.8,509,32,
2017-03-10 20:59:45,Georgetown-class1,22.5,19.7,503,32,
2017-03-10 21:00:08,Georgetown-class1,22.5,20,503,34,
2017-03-10 21:00:14,Georgetown-class1,22.5,20,502,34,
2017-03-10 21:00:37,Georgetown-class1,22.5,20.4,486,34,
2017-03-10 21:00:43,Georgetown-class1,22.5,20.4,508,37,
2017-03-10 21:01:06,Georgetown-class1,22.5,20.2,999,39,
2017-03-10 21:01:12,Georgetown-class1,22.5,20,465,40,
2017-03-10 21:01:29,Georgetown-class1,22.5,20.1,486,40,
2017-03-10 21:01:35,Georgetown-class1,22.5,19.9,505,40,
2017-03-10 21:01:41,Georgetown-class1,22.5,19.8,498,40,
2017-03-10 21:01:58,Georgetown-class1,22.5,19.5,491,42,
2017-03-10 21:02:04,Georgetown-class1,22.5,19.5,481,43,
2017-03-10 21:02:10,Georgetown-class1,22.5,19.6,506,43,
2017-03-10 21:02:27,Georgetown-class1,22.5,19.8,492,43,
2017-03-10 21:02:33,Georgetown-class1,22.5,19.8,508,45,
2017-03-10 21:02:39,Georgetown-class1,22.5,19.8,488,45,
2017-03-10 21:02:56,Georgetown-class1,22.5,19.7,480,45,
2017-03-10 21:03:02,Georgetown-class1,22.5,19.6,493,45,
2017-03-10 21:03:08,Georgetown-class1,22.5,19.5,489,45,
2017-03-10 21:03:25,Georgetown-class1,22.5,19.6,487,45,
2017-03-10 21:03:31,Georgetown-class1,22.5,19.7,1004,46,
2017-03-10 21:03:37,Georgetown-class1,22.5,19.4,504,46,
2017-03-10 21:03:54,Georgetown-class1,22.5,19.5,486,47,
2017-03-10 21:04:00,Georgetown-class1,22.5,19.4,993,47,
2017-03-10 21:04:23,Georgetown-class1,22.5,19.5,494,48,
2017-03-10 21:04:29,Georgetown-class1,22.6,19.5,498,48,
2017-03-10 21:04:52,Georgetown-class1,22.6,19.1,494,49,
2017-03-10 21:04:58,Georgetown-class1,22.6,19.8,487,49,
2017-03-10 21:05:21,Georgetown-class1,22.6,19.7,1008,51,
2017-03-10 21:05:27,Georgetown-class1,22.5,19.4,503,52,
2017-03-10 21:05:44,Georgetown-class1,22.6,19.3,507,52,
2017-03-10 21:05:50,Georgetown-class1,22.5,19.3,966,52,
2017-03-10 21:05:56,Georgetown-class1,22.5,19.2,470,52,
2017-03-10 21:06:13,Georgetown-class1,22.5,19.3,500,53,
2017-03-10 21:06:19,Georgetown-class1,22.6,19.4,505,53,
2017-03-10 21:06:25,Georgetown-class1,22.6,19.3,468,53,
2017-03-10 21:06:42,Georgetown-class1,22.6,19.3,484,53,
